Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
27705010459,[NE12] Dép Quai Ngang Masage Thương Hiệu NESTY Chất Liệu Nhựa Eva Cao Cấp ( KO3 ),"116,8k",70k+,Nesty Official Store,19%,₫22.196,https://shopee.vn/product/1113586002/27705010459,https://s.shopee.vn/3g2Z3gIaGb
26722058072,[NE50-Tặng 10 Charm 3D] Dép Sục Nguyên Khối Thương Hiệu NESTY Siêu Nhẹ 4cm Full Size Gia Đình,"125,0k",20k+,Nesty VN,12%,₫15.000,https://shopee.vn/product/1430201787/26722058072,https://s.shopee.vn/3Vj8rNJDba
44121618131,[NE54] [TẶNG CHARM] Dép Suc Đế Cao Đúc Nguyên Khối Nhãn Hiệu NESTY ( KO3 ),"186,2k",30k+,Nesty Official Store,19%,₫35.378,https://shopee.vn/product/1113586002/44121618131,https://s.shopee.vn/3LPif4JqwZ
42013938349,[NE15] Dép Quai Ngang NESTY Nam Nữ Unisex Dép Đúc EVA Êm Nhẹ Thiết Kế 2 Quai Cá Tính ( KO3 ),"120,0k",20k+,Nesty Official Store,19%,₫22.800,https://shopee.vn/product/1113586002/42013938349,https://s.shopee.vn/4Vbg3DFPZo
51051942606,[NE63] Dép hai quai khóa cài đế cách điệu đúc nguyên khối cao 6cm NESTY ( KO1 ),"190,0k",20k+,Nesty Official Store,19%,₫36.100,https://shopee.vn/product/1113586002/51051942606,https://s.shopee.vn/4LIFquG2un
55257553610,[NE73] Dép NESTY EVA Dép Bánh Mì Siêu Nhẹ – Dép Sục Thoáng Khí Chống Trượt Đi Mưa Đi Chơi ( KO1 ),"185,0k",10k+,Nesty Official Store,19%,₫35.150,https://shopee.vn/product/1113586002/55257553610,https://s.shopee.vn/4AypebGgFm
27320124669,[NE19] [Tặng Charm] Dép Hai Quai Đế Cao 6cm Đúc Nguyên Khối Thương Hiệu NESTY ( KO1 ),"190,0k",60k+,Nesty Official Store,19%,₫36.100,https://shopee.vn/product/1113586002/27320124669,https://s.shopee.vn/40fPSIHJal
28281730209,"[NE15] Dép Unisex NESTY Chính Hãng - Chất Liệu EVA Nhẹ Êm Ái, Siêu Nhẹ, Khóa Cài, Chống Trượt Tốt","110,4k",20k+,Nesty Việt Nam Store,12%,₫13.248,https://shopee.vn/product/618428702/28281730209,https://s.shopee.vn/5ArMqRCsE0
41053395377,[NE38] Dép Bánh Mì Nguyên Khối Nam Nữ NESTY Chất Liệu EVA Cao Cấp 4cm ( KO3 ),"140,4k",20k+,Nesty Official Store,19%,₫26.676,https://shopee.vn/product/1113586002/41053395377,https://s.shopee.vn/50Xwe8DVYz
27322056639,[ NE12] Dép Quai Ngang NESTY chống trơn trượt Chất Liệu Nhựa EVA Cao Cấp Siêu Nhẹ Êm Chân,"115,0k",20k+,Nesty VN,14%,₫16.100,https://shopee.vn/product/1430201787/27322056639,https://s.shopee.vn/4qEWRpE8ty
29828188090,"[NE12] Dép Massage Nesty EVA Quai Ngang Nam Nữ Siêu Nhẹ Chống Trượt | Dép Đi Trong Nhà, Đi Chơi, Đi Biển","104,0k",30k+,Nesty Việt Nam Store,12%,₫12.480,https://shopee.vn/product/618428702/29828188090,https://s.shopee.vn/4fv6FWEmEx
27778200245,"[NE11] Dép Sục Búp Bê Nữ NESTY Đế Bằng Cao 2cm - Chống trơn trượt, Siêu Nhẹ, Êm Chân, Công Sở/Dạo Phố/Đi Chơi/Làm","108,9k",30k+,Nesty Việt Nam Store,12%,₫13.068,https://shopee.vn/product/618428702/27778200245,https://s.shopee.vn/W5XHrUdhA
44601971752,[NE61]  [Tặng charm] Dép sục nữ đế cao 9cm đúc nguyên khối NESTY ( KO1 ),"200,0k",20k+,Nesty Official Store,19%,₫38.000,https://shopee.vn/product/1113586002/44601971752,https://s.shopee.vn/Lm75YVH29
24589946978,[ NE01 Tặng 10Sticker] Dép Sục Gia Đình NESTY Đế Cao 4Cm Nhựa EVA Êm Chân Không Mùi Dép HotTrend,"120,0k",10k+,Nesty VN,14%,₫16.800,https://shopee.vn/product/1430201787/24589946978,https://s.shopee.vn/BSgtFVuN8
