Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
40927664733,"Gôm tẩy vết bẩn trên giày da lộn, đế giày,  làm sạch giày, size nhỏ gọn EANNE","25,0k",3k+,Andreanne,17%,₫4.250,https://shopee.vn/product/1322576397/40927664733,https://s.shopee.vn/7VFDDl8wU6
6143953843,"Gôm Tẩy Giày Da Lộn, Giày Vải - Công Nghệ Nano - Cục Tẩy Làm Sạch Nhanh Giày Thể Thao, Sneaker","48,0k",7k+,AlphaStore - Shoes & Foot Care,16%,₫7.680,https://shopee.vn/product/218089319/6143953843,https://s.shopee.vn/7Kvn1S9Zp5
14656568710,"Shoes Up GomMaster - Cục Gôm/Tẩy làm sạch Đồ Da Lộn & Nubuck, Sneaker chuyên dụng.","85,0k",2k+,Shoes Up -Leather & Shoes Care,13%,₫11.050,https://shopee.vn/product/43699997/14656568710,https://s.shopee.vn/7AcMp9ADA4
4490045719,[GeeKSneaker] Hàng Có Sẵn - Gôm Tẩy Vệ Sinh Giày Bốt Da Lộn Và nhiều bề mặt khác nhau,"24,8k",5k+,MrGeek,12%,₫2.976,https://shopee.vn/product/185995130/4490045719,https://s.shopee.vn/70IwcqAqV3
27005221419,"Gôm Tẩy Da Lộn & Nubuck  Vết Bẩn, Tẩy Nhanh, Tẩy Sạch Trên Giày Da Lộn - Túi Xách Da Lộn - Mọi Bề Mặt","59,0k",1k+,Extrim - Vệ sinh giày tốt nhất,7%,₫4.130,https://shopee.vn/product/48882157/27005221419,https://s.shopee.vn/6pzWQXBTq2
2381730836,Gôm vệ sinh giày sneaker chuyên dụng cho da lộn không hóa chất an toàn mọi chất liệu da,"19,0k",2k+,Miếng Dán Đế Giày 3M - Sole 3M,16%,₫3.042,https://shopee.vn/product/17031597/2381730836,https://s.shopee.vn/6fg6EEC7B1
43404989050,"Tẩy Nano Làm Sạch Giày Da Lộn, Sneaker – Gôm Vệ Sinh Khử Mốc, Không Cần Nước","25,9k",193,CƯỜNG SHOP-ĐỒ NGŨ KIM,12%,₫3.107,https://shopee.vn/product/1220039662/43404989050,https://s.shopee.vn/6VMg1vCkW0
21208532658,"Gôm Tẩy Giày Da Lộn, Giày Vải Jommy - Công Nghệ Nano - Làm Sạch Nhanh Giày Thể Thao, Sneaker - hickies lacing system","30,0k",1k+,New Star Beauty,7%,₫2.100,https://shopee.vn/product/53909647/21208532658,https://s.shopee.vn/6L3FpcDNqz
48656394088,Gôm Tẩy Vệ Sinh Giày Bốt Da Lộn Và nhiều bề mặt khác nhau-Rafaleen,"28,9k",21,rafaleen001,18%,₫5.202,https://shopee.vn/product/1241587672/48656394088,https://s.shopee.vn/6AjpdJE1By
56152948804,Gôm tẩy giày vệ sinh vải da lộn Jewel cleanser sneaker canvas suede sole mesh Nhật Bản,"150,0k",462,Torii_Shop,9%,₫13.499,https://shopee.vn/product/998924089/56152948804,https://s.shopee.vn/60QPR0EeWx
49203943340,"Gôm tẩy vết bẩn trên giày da lộn, đế giày, làm sạch giày, size nhỏ gọn LEMON","25,1k",67,Lemon888,19%,₫4.775,https://shopee.vn/product/1003480183/49203943340,https://s.shopee.vn/5q6zEhFHrw
55007125739,Gôm Tẩy Vệ Sinh Giày Bốt Da Lộn Và nhiều bề mặt khác nhau-Fashinrandy,"28,9k",12,Randy888,17%,₫4.913,https://shopee.vn/product/698040688/55007125739,https://s.shopee.vn/5fnZ2OFvCv
56005525766,"Gôm Tẩy Giày Da Lộn, Giày Vải - Công Nghệ Nano - Cục Tẩy Làm Sạch Nhanh Giày Thể Thao, Sneaker - SA123","28,9k",19,savarna123,27%,₫7.803,https://shopee.vn/product/1629922553/56005525766,https://s.shopee.vn/5VU8q5GYXu
21308532789,"Gôm tẩy vết bẩn trên giày da lộn, đế giày, HICKIES LACING SYSTEM làm sạch giày, size nhỏ gọn","30,0k",2k+,HICKIES STORE,7%,₫2.100,https://shopee.vn/product/39628986/21308532789,https://s.shopee.vn/5LAidmHBst
